character	level	sequence
藕	bag	 未 禺
藖	bag	丨  又 目 臣
藗	bag	 束 欠 辶
藘	bag	 ㇀ 丨 乚 十 心 田
藙	bag	 十  𧰨
藚	bag	 十 目 罒
藛	bag	 十 宀 灬 臼
藜	bag	   勹 十 木
藝	bag	  九  十 
藞	bag	  
藟	bag	 田 田 田
藠	bag	 白 白 白
藡	bag	   辶
藢	bag	  山 彳 攵
藣	bag	⺆   乚  厶 罒
藤	bag	 丷 亅 人  月
藥	bag	 丨  十 
藦	bag	 
藧	bag	   
藨	bag	  广 比 灬 
藩	bag	 氵 
藪	bag	⑧  
藫	bag	   
藬	bag	 八  目 阝
藭	bag	丨  宀 弓 身
藮	ordered	十 丨 木 隹 灬
藯	bag	  心 示
藰	bag	③  人  
藱	bag	   疒
藲	ordered	十 丨 木 匚  口
藳	bag	  
藴	bag	   皿
藵	bag	 亻  𧘇
藶	bag	  厂  止
藷	bag	  言
藸	bag	 耂 𧰨
藹	ordered	十 丨 言  𠃊 人
藺	bag	 隹 𠁣 𠃛
藻	bag	  
藼	bag	  
藽	bag	  朩 目
藾	bag	丨  束 目 𠂊
藿	bag	 丷 八  隹
蘀	bag	  干 
蘁	bag	   口 干
蘂	bag	 心 心 心 木
蘃	bag	 木 止 止 止
蘄	bag	  口 甲 𠂆
蘅	bag	 亅  
蘆	bag	 ㇀ 丨 乚 十 田 皿
蘇	ordered	十 丨 𠂊 田 灬 
蘈	bag	  木 頁
蘉	bag	 冖  又 罒 
蘊	bag	 丨  十 囗 皿
蘋	bag	 止 頁 𣥂
蘌	bag	③  卩 彳 示 𠂉
蘍	bag	 熏 𠃌
蘎	bag	 丷 八  巴 月
蘏	bag	丨  示 頁
蘐	bag	  言 
蘑	bag	  
蘒	bag	丨   𠂊
蘓	ordered	十   田 灬
蘔	bag	  木 頁
蘕	ordered	十 丨  ③ 辶 夂 
蘖	bag	㠯   十 木
蘗	bag	  木
蘘	bag	 丶 井  𧘇
蘙	bag	  匚   𠃌 𠘧
蘚	bag	  十 灬 
蘛	bag	⑤    
蘜	bag	 十 米 革
蘝	bag	 人  欠
蘞	bag	 人  攵
蘟	bag	 工  
蘠	bag	 十  爿
蘡	bag	丨 八  女 目 目
蘢	bag	⑦  十 月
蘣	bag	    由
蘤	bag	 爲 白
蘥	bag	 人   
蘦	bag	 丷   
蘧	bag	 ㇀  乚 十 
蘨	bag	②   十 小 缶 𭕄
蘩	bag	②  小 
蘪	bag	  广 比 米 
蘫	ordered	十 丨 氵 臣 𠂉 丶 皿
蘬	bag	㠯  巾 彐 止
蘭	bag	 柬 𠁣 𠃛
蘮	bag	丨   厂 罒
蘯	bag	 丿 勹  氵 皿
蘰	bag	   罒
蘱	bag	 犬 米 頁
蘲	bag	  田 田 田
蘳	bag	 丨   十 由
蘴	bag	   山 豆
蘵	bag	  丷  耳
蘶	bag	  十 厶  田
蘷	bag	 夂 巳 止 白
蘸	bag	 灬 酉 隹
蘹	bag	⑤  十 忄 罒 𧘇
蘺	bag	㐅  冂 凵 十 
蘻	bag	②  凵 十  車 𠘧
蘼	bag	  非
蘽	bag	 木 田 田 田
蘾	bag	  十 罒 𧘇
蘿	bag	  罒 隹
虀	bag	③    非 𠃌
虁	bag	  夂 巳 止 自
虂	bag	 丷    止
虃	bag	  十 氵 非
虄	bag	 夂 生 虫
虅	bag	⑥   月 灬
虆	bag	②  小 田 田 田
虇	bag	   隹
虈	bag_ops	  口 頁  ⿲ ⿻
虉	bag	⑦  丨   灬
虊	bag	 丨  十 小 小 木 言
虋	bag	③   冖  彐 酉 𠃌
虌	bag	  巾 攵 黽
虍	bag	 
虎	bag	
虏	bag	 
虐	bag	  
虑	bag	
虒	bag	 几 𠂆
虓	bag	 九 几
虔	bag	 ㇀  乚 ⸻
處	bag	 几 
虖	bag	 ㇀ 乎 乚 ⸻
虗	bag	 ㇀ 丘 乚
虘	bag	 ㇀ 且 乚 ⸻
虙	bag	  
虚	bag	
虛	bag	② ⑥ ⺊ 
虜	bag	  
虝	bag	 ㇀  几 勹
虞	bag	 ㇀  乚 人 
號	bag	 ㇀  乚 
虠	bag	 ㇀  乚 八 几
虡	bag	 八
虢	bag	  几 寸 𭕄
虣	bag	 ㇀  乚 几 止
虤	bag	②  ⺊ ㇀  乚 几 
虥	ordered	⺊ ②  几    
虦	ordered	    ⺊ ②  几
虧	bag	 ㇀  乚 隹
虨	bag	 彡 
虩	bag	 几 小 小 日
虪	bag	② ⑧ ⺊ ㇀ 丨  几 夂 灬
虫	bag	
虬	bag	乚 虫
虭	bag	丿 虫 𠃌
虮	bag	几 虫
虯	bag	丩 虫
虰	bag	 虫
虱	bag	⺄ 丿 虫
虲	bag	卜 虫
虳	bag	 虫
虴	bag	 虫
虵	bag	也 虫
虶	bag	于 虫
虷	bag	干 
虸	bag	子 虫
虹	bag	工 虫
虺	bag	 虫
虻	bag_ops	 虫 𠃊 
虼	bag	乙 虫 𠂉
虽	bag	
虾	bag	 虫
虿	bag	 虫 𠃌
蚀	bag	虫 饣
蚁	bag	 虫
蚂	bag	 虫
蚃	bag	乡 虫
蚄	bag	 虫 𠃌
蚅	bag	 
蚆	bag	巴 虫
蚇	bag	尺 虫
蚈	bag	 虫
蚉	bag_ops	 虫 
蚊	bag_ops	 虫 
蚋	bag	 虫
蚌	bag	 虫
蚍	bag	比 虫
蚎	bag	日 虫
蚏	bag	月 
蚐	bag	 虫
蚑	bag	 虫
蚒	bag	丹 虫
蚓	bag	丨 弓 虫
蚔	bag	氏 虫
蚕	bag_ops	 虫 
蚖	bag_ops	 虫 ⿰ 
蚗	bag	 虫 𠃍
蚘	bag	 虫
蚙	bag	 虫
蚚	bag	 虫 𠂆
蚛	bag	 虫
蚜	bag	牙 虫
蚝	bag_ops	 虫 
蚞	bag	木 
蚟	bag	 虫
蚠	bag_ops	 虫 𠃌 
蚡	bag_ops	 虫 
蚢	bag	 虫
蚣	bag	 虫
蚤	bag	丶 又 
蚥	bag	 虫
蚦	bag	 虫
蚧	bag	 虫
蚨	bag_ops	 虫 
蚩	bag	 凵 
蚪	bag	斗 虫
蚫	bag	 虫
蚬	bag	虫 见
蚭	bag	 尸 虫
蚮	bag	 亻 虫
蚯	bag	丘 虫
蚰	bag	由 虫
蚱	bag	乍 虫
蚲	bag	 虫
蚳	bag	丶 氏 虫
蚴	bag	 虫 𠃌
蚵	bag	 虫
蚶	bag	甘 
蚷	bag	巨 
蚸	bag	 虫 𠂆
蚹	bag	 虫
蚺	bag	冉 虫
蚻	bag	乚 木 虫
蚼	bag	 虫
蚽	bag	③  虫
蚾	bag	皮 虫
蚿	bag	 虫
蛀	bag	 虫
蛁	bag	 虫 𠃌
蛂	bag	丶 又 虫 𠂇
蛃	bag	 虫
蛄	bag	 
蛅	bag	 虫
蛆	bag	且 虫
蛇	bag	 虫
蛈	bag	 虫
蛉	bag	 虫 龴
蛊	bag	皿 
蛋	bag	疋 
蛌	bag	瓜 虫
蛍	bag	冖 虫 𭕄
蛎	bag	 厂 虫 𠃌
蛏	bag	 虫
蛐	bag	曲 虫
蛑	bag	厶 牛 虫
蛒	bag	 虫
蛓	bag	 
蛔	bag	 虫
蛕	bag	月 虫 𠂇
蛖	bag	 彡 虫
蛗	bag	㠯 丿 虫
蛘	bag	 虫
蛙	bag_ops	 虫 
蛚	bag	 虫 𠂊
蛛	bag	朱 虫
蛜	bag	 虫 
蛝	bag	艮 
蛞	bag	 虫
蛟	bag	 虫
蛠	bag	 丿 虫  𠃌
蛡	bag	 虫 
蛢	bag	 虫
蛣	bag	 虫
蛤	bag	 
蛥	bag	 虫 
蛦	bag	 弓 虫
蛧	bag	 冂 虫
蛨	bag	一 白 虫
蛩	bag	 虫
蛪	bag	 虫 𠃌
蛫	bag	 虫 𠂊
蛬	bag	 虫
蛭	bag	 虫
蛮	bag	 虫
蛯	bag	 耂 虫
蛰	bag	 虫
蛱	bag_ops	 虫  ⿻
蛲	bag	 虫
蛳	bag	 巾 虫
蛴	bag	 虫
蛵	bag	一 工 虫 
蛶	bag	丿 寸 虫 𭕄
蛷	bag	 虫
蛸	bag	⺌ 月 虫
蛹	bag	 虫 龴
蛺	bag	  虫
蛻	bag	  虫
蛼	bag	虫 車
蛽	bag	八 目 
蛾	bag_ops	我 虫 ⿰
蛿	bag	 虫
蜀	bag	勹 罒 
蜁	bag	疋 虫 𠂉
蜂	bag	 
蜃	bag_ops	 虫 𠄌  ⿸ ⿺
蜄	bag_ops	 虫 𠄌 ⿰  ⿺
蜅	bag	 月 虫
蜆	bag	 目 虫
蜇	bag	 虫 𠂆
蜈	bag	 虫
蜉	bag	 虫 𭕄
蜊	bag_ops	 木 虫 ⿰ 
蜋	bag	丶 艮 虫
蜌	bag	 比 虫
蜍	bag	 虫
蜎	bag	口 月 虫
蜏	bag	 虫 𠄎
蜐	bag	 厶 虫 𠃌
蜑	bag_ops	 廴 虫  ⿺
蜒	bag_ops	 廴 虫  ⿺
蜓	bag	 虫
蜔	bag	勹 田 虫
蜕	bag	 虫
蜖	bag	④ 囗 虫
蜗	bag	 虫
蜘	bag	 虫 𠂉
蜙	bag	 虫
蜚	bag	虫 非
蜛	bag	 虫
蜜	bag	 心 虫
蜝	bag_ops	 虫 
蜞	bag_ops	 虫 
蜟	bag	 月 虫
蜠	bag	丿 囗 木 虫
蜡	bag	 虫
蜢	bag	子 皿 虫
蜣	bag	 乚 虫
蜤	bag_ops	 木 虫 𠂆 
蜥	bag_ops	 木 虫 𠂆  
蜦	bag	  虫
蜧	bag	 犬 虫
蜨	bag	疌 虫
蜩	bag	 虫
蜪	bag	勹 缶 虫
蜫	bag	 虫
蜬	bag	丷  八 凵 虫
蜭	bag	 虫
蜮	bag	  虫
蜯	bag	 人 虫
蜰	bag	巴 月 虫
蜱	bag	 白 虫
蜲	bag	 木 虫
蜳	bag	 虫
蜴	bag	 日 虫
蜵	bag	一 爿 片 虫
蜶	bag	 虫
蜷	bag	 虫
蜸	bag	又 臣 虫
蜹	bag	丨 人  虫
蜺	bag	 臼 虫
蜻	bag	月 虫 龶
蜼	bag	虫 隹
蜽	bag	一 入 入 巾 虫
蜾	bag	 虫
蜿	bag_ops	 宀 虫 𠂊 ⿰  ⿴
蝀	bag	東 
蝁	bag	⑥  虫
蝂	bag	 虫 𠂆
蝃	bag	  虫
蝄	bag	 冂 虫 𠃊
蝅	bag	 虫
蝆	bag	 虫 艹
蝇	bag	乚  虫
蝈	bag	 囗 虫
蝉	bag	 甲 虫
蝊	bag	 虫 龰
蝋	bag	 几 虫 𭕄
蝌	bag	 木 虫
蝍	bag	⑤ 卩 虫
蝎	bag	 虫 𠃊
蝏	bag	  虫
蝐	bag	 目 虫
蝑	bag	月 疋 虫
蝒	bag	 囗 
蝓	bag	 虫
蝔	bag	比 白 虫
蝕	bag	⑤  虫
蝖	bag	 日 虫
蝗	bag	 虫
蝘	bag	匚  虫
蝙	bag	 虫
蝚	bag	 木 虫 龴
蝛	bag	 戊 虫
蝜	bag	八 目 虫 𠂊
蝝	bag_ops	彑 虫 𧰨 
蝞	bag	目 虫 𠃜
蝟	bag	 虫
蝠	bag	 虫
蝡	bag	  冂 虫
蝢	bag	虫 頁
蝣	bag	 子 虫 
蝤	bag	丷 虫 酉
蝥	bag	 攵 虫 龴
蝦	bag	⑤ 又 虫 
蝧	bag	 央 虫
蝨	bag	 虫 虫
蝩	bag	虫 重
蝪	bag	 丿 勹 日 虫
蝫	bag	 
蝬	bag	㐅 八 凵 夂 虫
蝭	bag	 虫 龰
蝮	bag	夂 日 虫 𠂉
蝯	bag	 又 虫 
蝰	bag	  虫
蝱	bag	 虫 虫 𠃊
蝲	bag	刂 束 虫
蝳	bag	母 虫 龶
蝴	bag	 月 虫
蝵	bag	丿  木 虫
蝶	bag	世 木 虫
蝷	bag	 广 虫
蝸	bag	冂  虫 𠃍
蝹	bag	日 皿 虫
蝺	bag	禹 虫
蝻	bag	 虫
蝼	bag	女 米 虫
蝽	bag	 日 
蝾	bag	 木 虫
蝿	bag	乚  虫
螀	bag	 虫 𠂊
螁	bag	艮 虫 辶
螂	bag	 虫 阝
螃	bag	 虫 𠃌
螄	bag	㠯  巾 虫
螅	bag	心 自 虫
螆	bag	 虫
螇	bag	②  虫 𭕄
螈	bag	 白 虫
螉	bag	八  厶 虫 
螊	bag	 虫 
螋	bag	 臼 虫
螌	bag	又 舟 虫 𠘧
融	ordered	
螎	ordered	虫 
螏	bag	 疒 虫 𠂉
螐	atomic_override	螐
螑	bag	犬 自 虫
螒	bag	  虫
螓	bag	 木 虫
螔	bag	 几 虫 𠂆
螕	bag	㐅 丿 囗 比 虫
螖	bag	⑤ 月 虫
螗	bag	 广 虫 
螘	bag	山 虫 豆
螙	bag	木 虫 虫
螚	bag	 厶 
螛	bag	 虫
螜	bag	  又 虫 𠘧
螝	bag	 田 虫
螞	full	⿰ 虫 ⿹ ⑥ 灬
螟	bag	 八 冖 日 虫
螠	bag	 皿 虫
螡	bag	 虫 
螢	bag	 冖 虫
螣	bag	 月 虫
螤	bag	 人 日 虫
螥	bag	  尸 虫
螦	bag	 虫 龶
螧	bag	  虫
螨	bag	 虫
螩	bag	 朩 虫
螪	bag	  口 虫
螫	bag	④  攵 虫
螬	bag	 虫
螭	bag	 厶 虫
螮	bag	⑤ 冖 巾 虫
螯	bag	丿 攵 虫 
螰	bag	 广 比 虫 
螱	bag	 示 虫
螲	bag	  厶 宀 虫
螳	bag	⺌   虫
螴	bag	東 虫 阝
螵	bag	 示 虫
螶	bag	巨 虫 虫
螷	bag	 广 白 
螸	bag	欠 虫 谷
螹	bag	 虫 車 𠂆
螺	bag	 田 虫
螻	bag	⑧ 女 虫
螼	bag	口 廿 虫 龶
螽	bag	 夂 虫 虫
螾	bag	 由 虫
螿	bag	冫 寸 爿 虫 𠂊
蟀	bag	  虫
蟁	bag	民 虫 虫
蟂	bag	⑦ 木 虫
蟃	bag	 罒 虫
蟄	bag	 九 十 干 虫
蟅	bag_ops	 灬 虫 ⿰ 
蟆	bag_ops	 虫  ⿻
蟇	bag_ops	 虫 
蟈	bag	  囗 虫
蟉	bag	 彡 虫 
蟊	bag	 虫 虫 龴
蟋	bag	 米 虫
蟌	bag	丿  心 虫
蟍	bag	  虫
蟎	bag	入 入 巾 廿 虫
蟏	bag	 肃 虫
蟐	bag	 巾 虫
蟑	bag	  虫
蟒	bag	 十 犬 虫
蟓	bag	丨 囗 虫 
蟔	bag	⑧ 灬 虫
蟕	bag	 止 
蟖	bag_ops	 虫 𠂆 ⿰  
蟗	bag	 冖  虫
蟘	bag	 亻 八 目 虫
蟙	bag	  日 虫
蟚	bag_ops	 虫 豆 
蟛	bag_ops	 虫 豆 ⿰ 
蟜	bag	  虫
蟝	bag	巨  虫
蟞	bag	丷 八 巾 攵 虫
蟟	bag	 人 小 日 虫
蟠	bag	丿  虫
蟡	bag	爲 虫
蟢	bag	 虫 豆
蟣	bag	②   人 虫
蟤	bag	 巳 虫
蟥	bag	 由 虫
蟦	bag	  目 虫
蟧	bag	丿  冖 虫 𠃌
蟨	bag_ops	 厂 欠 虫  ⿸ ⿻
蟩	bag_ops	 厂 欠 虫 ⿰  ⿻
蟪	bag	⑧ 心 虫
蟫	bag	  日 虫
蟬	bag	 甲 虫
蟭	bag	灬 虫 隹
蟮	bag	  虫
蟯	bag	   十 虫
蟰	bag	肅 虫
蟱	bag	一 卌 灬 虫 𠂉
蟲	bag	虫 虫 虫
蟳	bag	口 寸 工 彐 虫
蟴	bag_ops	 虫 𠂆  ⿸
蟵	bag	厂 寸 虫 豆
蟶	bag	 耳 虫
蟷	bag	 田 虫
蟸	bag	一 虫 虫 𧰨
蟹	bag_ops	丿 牛 虫  
蟺	bag	 口  虫
蟻	bag	 我 虫
蟼	bag	 虫
蟽	bag	 十 虫 辶
蟾	bag	 厂 虫 言 𠂊
蟿	bag	凵 又 虫 車 𠘧
蠀	bag	八  目 虫
蠁	bag	 乡 虫 阝
蠂	bag	世  木 虫
蠃	bag	  月 虫 𠃊
蠄	bag	  凵 厶 虫
蠅	bag	虫 黽
蠆	bag_ops	 禺 虫 
蠇	bag_ops	 禺 虫 
蠈	bag	 八 目 虫 𠂇
蠉	bag	 罒 虫 𧘇
蠊	bag	 广 虫 
蠋	bag	勹 罒 虫 虫
蠌	bag	 罒 虫
蠍	bag	 欠 虫 𠃊
蠎	bag	   虫
蠏	bag_ops	丿 牛 虫   
蠐	bag	③   虫 𠃌
蠑	bag	 冖 木 虫
蠒	bag	   乀 八 巾 虫
蠓	bag	 虫 𧰨
蠔	bag	  虫 𧰨
蠕	bag	 冂 冂 虫
蠖	bag	 又 虫 隹
蠗	bag	 虫 隹 
蠘	bag_ops	 虫   
蠙	bag	 目 虫 𣥂
蠚	bag	 虫 虫 𠂇
蠛	bag	 戊 罒 虫
蠜	bag	㐅  人  虫
蠝	bag	田 田 田 虫
蠞	bag_ops	⑤  卩 虫  
蠟	bag	⑦ 㐅 囗 虫 
蠠	bag	 囗 虫 虫
蠡	bag	彑 虫 虫 𧰨
蠢	bag	 日 虫 虫
蠣	bag	 厂 禺 虫
蠤	bag	丷 虫 虫 酉
蠥	bag	㠯  丿 凵 十 虫
蠦	bag	 田 皿 虫
蠧	bag	 冖  虫 虫
蠨	bag	 肅 虫
蠩	bag	 虫 言
蠪	bag_ops	⑦  月 虫  
蠫	bag	刂 虫 虫 豸
蠬	bag_ops	⑦  月 虫 
蠭	bag	 虫 虫 辶
蠮	bag	  匚 又 虫  𠃌 𠘧
蠯	bag	 广 白 虫 虫
蠰	bag	 井  虫 𧘇
蠱	bag	皿 虫 虫 虫
蠲	bag	 勹 皿 罒 虫
蠳	bag	八 八 女 目 目 虫
蠴	bag	  虫
蠵	bag	 口 山 虫 隹
蠶	bag	旡 旡 日 虫 虫
蠷	bag	目 目 虫 隹
蠸	bag	 口 虫 隹
蠹	bag	 冖  虫 虫
蠺	bag	 日 虫 虫
蠻	bag	②  丶 小 小 虫 言
蠼	bag	又 目 目 虫 隹
蠽	bag	 小 虫 虫 隹
蠾	bag	 八 勹 尸 罒 虫 虫
蠿	bag	 ②   丶 虫 虫 𠃎 𠃎
血	bag	
衁	bag	 皿 𠃊
衂	bag	 丿 
衃	bag	 丿 皿
衄	bag	丑 丿 皿
衅	bag	 皿
衆	bag	丿 乑 
衇	bag	④ 丿 皿 𠂆
衈	bag	丿 皿 耳
衉	bag	丿  皿
衊	bag	丨  十 戊 皿 罒
衋	bag	  白 白 皿 
行	bag	
衍	bag_ops	 彳 氵  ⿲
衎	bag	 干 彳
衏	bag	  亅 彳
衐	bag	 巨 彳
衑	bag	 人 彳 龴
衒	bag	②  亅 彳
術	bag	 彳 木
衔	bag	 彳 钅
衕	bag	  彳
衖	bag	 亅  彳
街	bag	
衘	bag	③  
衙	bag	  彳 𫝀
衚	bag	  彳 月
衛	bag	㐄  口 彳 𫝀
衜	bag	 彳 自
衝	bag	 彳 重
衞	bag	  巾 彳 𫝀
衟	bag	 彳 自 
衠	bag	  亅  彳
衡	bag	
衢	bag	 彳 目 目 隹
衣	bag	
衤	bag	衤 ⸻
补	bag	
衦	bag	干 衤
衧	bag	于 衤
表	bag	
衩	bag	丶 又 衤 ⸻
衪	bag	也 衤 ⸻
衫	bag	彡 衤
衬	bag	寸 衤
衭	bag	 衤 ⸻
衮	bag	  𧘇
衯	bag	 
衰	bag	 
衱	bag	及 衤
衲	bag	 衤
衳	bag	 衤
衴	bag	冘 衤
衵	bag	日 衤 ⸻
衶	bag	 衤
衷	bag	 
衸	bag	 衤
衹	bag	氏 衤
衺	bag	 牙 𧘇
衻	bag	 衤
衼	bag	 衤
衽	bag	 衤
衾	bag	㇇  人 𧘇
衿	bag	 衤
袀	bag	 衤
袁	bag	 𧘇
袂	bag	 衤 𠃍
袃	bag	㇀  𠃌 𧘇
袄	bag	 衤
袅	bag	 𧘇
袆	bag	衤 韦
袇	bag	丹 衤
袈	bag	  𧘇
袉	bag	 衤
袊	bag	 衤 龴
袋	bag	
袌	bag	  𧘇
袍	bag	 衤
袎	bag	 
袏	bag	工 衤 𠂇
袐	bag	 衤
袑	bag	 
袒	bag	 衤 ⸻
袓	bag	且 衤
袔	bag	 衤
袕	bag	 衤
袖	bag	由 衤
袗	bag	人 彡 衤
袘	bag	也 衤 𠂉
袙	bag	白 衤
袚	bag	丶 又 衤 𠂇
袛	bag	丶 氏 衤
袜	bag	末 衤
袝	bag	 衤
袞	bag	  𧘇
袟	bag	 衤
袠	bag	  𧘇
袡	bag	冉 衤
袢	bag	 衤
袣	bag	世 衤
袤	bag	  𧘇
袥	bag	 衤 ⸻
袦	bag	 衤
袧	bag	 衤
袨	bag	 衤
袩	bag	 衤
袪	bag	 衤
被	bag	
袬	bag	 厶 
袭	bag	
袮	bag	小 衤 𠂉
袯	bag	发 衤
袰	bag	 母 𧘇
袱	bag	亻 犬 衤
袲	bag	 丶  𧘇
袳	bag	 衤 
袴	bag	㇉  衤
袵	bag	  衤
袶	bag	㐄 夂 衤
袷	bag	 衤
袸	bag	③ 子 衤
袹	bag	一 白 衤
袺	bag	 衤 ⸻
袻	bag	 衤
袼	bag	 衤
袽	bag	 衤
袾	bag	朱 衤
袿	bag	 衤
裀	bag	 衤
裁	bag	
裂	bag	
裃	bag	⺊  
裄	bag	 彳 衤
装	bag	
裆	bag	⺌ 彐 衤
裇	bag	丿 皿 衤
裈	bag	冖 衤 车
裉	bag	艮 衤 ⸻
裊	bag	⑦ 
裋	bag	衤 豆
裌	bag	  衤
裍	bag	囗 木 衤
裎	bag	 衤
裏	bag	  甲 𧘇
裐	bag	口 月 衤
裑	bag	衤 身
裒	bag	 臼 𧘇
裓	bag	 衤
裔	bag	  
裕	bag	衤 谷
裖	bag	 衤 𠄌
裗	bag	 衤
裘	bag	  𧘇
裙	bag	 衤 
裚	bag	 丶  𧘇
裛	bag	  𧘇
補	bag	 月 衤
裝	bag	 爿 𧘇
裞	bag	 衤
裟	bag	 小 
裠	bag	   𧘇
裡	bag	 甲 衤
裢	bag	衤 车 辶
裣	bag	 衤 𭕄
裤	bag	广 衤 车
裥	bag	日 衤 门
裦	bag	③   𧘇
裧	bag	 衤
裨	bag	 白 衤
裩	bag	 衤
裪	bag	勹 缶 衤
裫	bag	一 爿 片 衤
裬	bag	一  夂 衤
裭	bag	 几 衤 ⸻
裮	bag	 衤
裯	bag	 衤
裰	bag	  衤
裱	bag	衤 
裲	bag	一 入 入 巾 衤
裳	bag	⺌   𧘇
裴	bag_ops	 非 𧘇 
裵	bag_ops	 非 𧘇 ⿱ ⿳
裶	bag	衤 非
裷	bag	 衤
裸	bag	 衤
裹	bag	  𧘇
裺	bag	 日 衤
裻	bag	⺊   𧘇
裼	bag	 日 衤
製	bag	 刂 牛 𧘇
裾	bag	 衤
裿	bag	 衤
褀	bag	 衤
褁	bag	 𧘇
褂	bag	 
褃	bag	月 止 衤
褄	bag	 女 衤 
褅	bag	 巾 衤
褆	bag	 衤 龰
複	bag	夂 日 衤 𠂉
褈	bag	衤 重
褉	bag	  人 
褊	bag	 衤
褋	bag	世 木 衤
褌	bag	冖 衤 車
褍	bag	 山 衤
褎	bag	③  木 𧘇
褏	bag	③  由 𧘇
褐	bag	 衤 𠃊
褑	bag	 又 衤 
褒	bag	  𧘇
褓	bag	 衤
褔	bag	 衤
褕	bag	 衤
褖	bag	彑 衤 𧰨
褗	bag	匚  衤
褘	bag	㐄 口 衤 𫝀
褙	bag	 月 衤
褚	bag	 衤
褛	bag	女 米 衤
褜	bag	  𧘇
褝	bag	 甲 衤
褞	bag	日 皿 衤
褟	bag	 日 衤 
褠	bag	 冉 衤
褡	bag	  衤
褢	bag	  田 𧘇
褣	bag	宀 衤 谷
褤	bag	 衤 𧘇
褥	bag	 寸 衤 𠄌
褦	bag	 厶 衤
褧	bag	  耳 𧘇
褨	bag	 工 衤
褩	bag	  𧘇
褪	bag	艮 衤 辶
褫	bag	 几 衤 𠂆
褬	bag	 又 木 衤
褭	bag_ops	⑥  灬 𧘇 ⿱ ⿳ ⿹
褮	bag	  
褯	bag	巾  衤
褰	bag	 井  𧘇
褱	bag	⑤  罒 𧘇
褲	bag	广 衤 車
褳	bag	衤 車 辶
褴	bag	 皿 衤 𠂉
褵	bag	 厶 衤 ⸻
褶	bag	 白 衤 
褷	bag	彳 止 衤 龰
褸	bag	⑧ 女 衤
褹	bag	 九  衤
褺	bag_ops	 九 十 干 𧘇   ⿻
褻	bag	 九 十 
褼	bag	 丨  巳 衤
褽	bag	  示 𧘇
褾	bag	 示 衤
褿	bag	 衤
襀	bag	八 目 衤 龶
襁	bag	 虫 衤
襂	bag	人 厶 厶 厶 彡 衤
襃	bag	③   𧘇
襄	bag	 井  𧘇
襅	bag	⑨ 一 衤
襆	bag	  衤
襇	bag	日 衤 𠁣 𠃛
襈	bag	 巳 衤
襉	bag	月 衤 𠁣 𠃛
襊	bag	 耳 衤
襋	bag	朿 朿 衤
襌	bag	 甲 衤
襍	bag	木 衤 隹
襎	bag	丿  衤
襏	bag	 又 弓 衤 𠘧
襐	bag	丨 囗 衤 
襑	bag	口 寸 工 彐 衤
襒	bag	丷 八 巾 攵 衤
襓	bag	   十 衤
襔	bag	入 入 巾 廿 衤
襕	bag	柬 衤 门
襖	bag	 米 衤
襗	bag	 罒 衤
襘	bag	⺌   衤
襙	bag	  衤
襚	bag	 衤 
襛	bag	 曲 衤 𠄌
襜	bag	 厂 衤 言 𠂊
襝	bag	   衤
襞	bag	 丷  𧘇
襟	bag	 衤
襠	bag	 田 衤
襡	bag	勹 罒 虫 衤
襢	bag	 口  衤
襣	bag	 自 衤
襤	bag	丶 皿 臣 衤 𠂉
襥	bag	  亻 衤
襦	bag	 冂 冂 衤
襧	bag	   乀 八 巾 衤
襨	bag	  衤
襩	bag	一  目 罒 衤
襪	bag	 戊 罒 衤
襫	bag	 白 白 衤
襬	bag	 厶 罒 衤
襭	bag	 衤 頁
襮	bag	 日 衤
襯	bag	 朩 目 衤
襰	bag	八 束 目 衤 𠂊
襱	bag	⑦  月 衤
襲	bag	⑦  丷 月 𧘇
襳	bag	  衤 非
襴	bag	柬 衤 𠁣 𠃛
襵	bag	耳 耳 耳 衤
襶	bag	 田 衤
襷	bag	②   彐 手 衤
襸	bag	 八 目 衤 
襹	bag	 丨 冂 冂 广 比 衤 
襺	bag	  冂 虫 衤 艹
襻	bag	㐅  人  衤
襼	bag	  九  十 厶 衤
襽	bag	 柬 衤 𠁣 𠃛
襾	bag	襾
西	bag	
覀	bag	 
要	bag_ops	
覂	bag	②   口
覃	bag	  
覄	bag	  犬
覅	bag	 丿 勹 
覆	bag	  
覇	bag	 月 革
覈	bag	 丨  口 攵 白 𠃌
覉	bag	 丨 亅 人  革
覊	bag	⑥  灬 革
見	bag	 
覌	bag	 又 目
覍	bag	 小 
覎	bag	 子 目
規	bag	 人 
覐	bag	㐅 丿  乚 目
覑	bag	 片 目
覒	bag	 目
覓	bag	 目 𭕄
覔	bag	  目
覕	bag	 心 目
視	bag	 目 礻
覗	bag	 目 𠃌
覘	bag	⺊  目
覙	bag	 小 目 𠂉
覚	bag	 目 𭕄
覛	bag	④  
覜	bag	 兆 目
覝	bag	  干 目
覞	bag	 目 目
覟	bag	 十 心 目
覠	bag	  目 
覡	bag	  工 目
覢	bag	  目
覣	bag	 女 
覤	bag	  乚 几 目
覥	bag	⑥  八 目
覦	bag	  目
覧	bag	 目 臣 𠂉
覨	bag	  口 目
覩	bag	 日 目 耂
親	bag	 朩 
覫	bag	  冖 目 𠃌
覬	bag	 山 目 豆
覭	bag	 八 冖 日 目
覮	bag	  冖 目
覯	bag	 井 冉 目
覰	bag	 ㇀ 且  乚 目
覱	bag	  目 車 𠂆
覲	bag	 廿 
