character	code_hex	rank	freq
밭	EA07 EA59	821	8103
숭	EA08 EA59	822	8075
뒀	EA09 EA59	823	7987
덤	EA0A EA59	824	7951
앱	EA00 EA5B	825	7893
앗	EA01 EA5B	826	7876
딜	EA02 EA5B	827	7815
좁	EA03 EA5B	828	7809
큰	EA04 EA5B	829	7807
훌	EA05 EA5B	830	7799
낄	EA06 EA5B	831	7720
겹	EA07 EA5B	832	7672
깝	EA08 EA5B	833	7668
띄	EA09 EA5B	834	7611
뇨	EA0A EA5B	835	7598
팽	EA00 EA5C	836	7580
녕	EA01 EA5C	837	7571
숫	EA02 EA5C	838	7532
뚜	EA03 EA5C	839	7479
멋	EA04 EA5C	840	7377
갤	EA05 EA5C	841	7278
톨	EA06 EA5C	842	7272
덮	EA07 EA5C	843	7247
덩	EA08 EA5C	844	7229
밟	EA09 EA5C	845	7166
첩	EA0A EA5C	846	7163
랄	EA00 EA5D	847	7046
뱅	EA01 EA5D	848	6963
닷	EA02 EA5D	849	6961
꿔	EA03 EA5D	850	6946
룩	EA04 EA5D	851	6890
룰	EA05 EA5D	852	6884
빗	EA06 EA5D	853	6856
꺾	EA07 EA5D	854	6849
묶	EA08 EA5D	855	6828
궤	EA09 EA5D	856	6817
팩	EA0A EA5D	857	6779
톱	EA00 EA5F	858	6768
멜	EA01 EA5F	859	6726
퀴	EA02 EA5F	860	6716
엠	EA03 EA5F	861	6705
틸	EA04 EA5F	862	6668
갱	EA05 EA5F	863	6613
잎	EA06 EA5F	864	6569
헨	EA07 EA5F	865	6554
픔	EA08 EA5F	866	6553
끗	EA09 EA5F	867	6548
굉	EA0A EA5F	868	6542
쿨	EA00 EA5E	869	6507
돋	EA01 EA5E	870	6490
껏	EA02 EA5E	871	6448
놨	EA03 EA5E	872	6404
틈	EA04 EA5E	873	6368
댄	EA05 EA5E	874	6271
깃	EA06 EA5E	875	6245
튀	EA07 EA5E	876	6189
뼈	EA08 EA5E	877	6157
밸	EA09 EA5E	878	6153
콤	EA0A EA5E	879	6143
옵	EA00 EA61	880	6079
쫓	EA01 EA61	881	6057
얀	EA02 EA61	882	6049
닭	EA03 EA61	883	6032
찮	EA04 EA61	884	6000
떼	EA05 EA61	885	5986
탱	EA06 EA61	886	5982
멍	EA07 EA61	887	5951
캘	EA08 EA61	888	5951
샘	EA09 EA61	889	5936
눌	EA0A EA61	890	5880
넥	EA00 EA60	891	5878
띠	EA01 EA60	892	5878
윌	EA02 EA60	893	5873
췄	EA03 EA60	894	5862
』	EA04 EA60	895	5849
〉	EA05 EA60	896	5847
펠	EA06 EA60	897	5825
붉	EA07 EA60	898	5818
좀	EA08 EA60	899	5818
『	EA09 EA60	900	5796
륜	EA0A EA60	901	5764
댓	EA00 EA68	902	5763
궐	EA01 EA68	903	5748
쯤	EA02 EA68	904	5732
엉	EA03 EA68	905	5688
륭	EA04 EA68	906	5675
